index,year,TOT_REG_CD,num,population
1,2023,31150510010001,to_in_008,280
2,2023,31150510010001,to_in_001,539
3,2023,31150510010001,to_in_007,259
4,2023,31150510020001,to_in_001,431
5,2023,31150510020001,to_in_008,179
6,2023,31150510020001,to_in_007,252
7,2023,31150510030001,to_in_008,305
8,2023,31150510030001,to_in_007,309
9,2023,31150510030001,to_in_001,614
10,2023,31150510030002,to_in_008,283
11,2023,31150510030002,to_in_001,545
12,2023,31150510030002,to_in_007,262
13,2023,31150510030101,to_in_008,221
14,2023,31150510030101,to_in_007,217
15,2023,31150510030101,to_in_001,438
16,2023,31150510030102,to_in_001,466
17,2023,31150510030102,to_in_008,236
18,2023,31150510030102,to_in_007,230
19,2023,31150510030103,to_in_008,290
20,2023,31150510030103,to_in_001,579
21,2023,31150510030103,to_in_007,289
22,2023,31150510030104,to_in_008,201
23,2023,31150510030104,to_in_007,196
24,2023,31150510030104,to_in_001,397
25,2023,31150510030105,to_in_008,224
26,2023,31150510030105,to_in_001,451
27,2023,31150510030105,to_in_007,227
28,2023,31150510030106,to_in_001,540
29,2023,31150510030106,to_in_007,262
30,2023,31150510030106,to_in_008,278
31,2023,31150510030107,to_in_007,253
32,2023,31150510030107,to_in_001,496
33,2023,31150510030107,to_in_008,243
34,2023,31150510030201,to_in_001,477
35,2023,31150510030201,to_in_007,231
36,2023,31150510030201,to_in_008,246
37,2023,31150510030202,to_in_007,174
38,2023,31150510030202,to_in_008,195
39,2023,31150510030202,to_in_001,369
40,2023,31150510040001,to_in_008,229
41,2023,31150510040001,to_in_001,517
42,2023,31150510040001,to_in_007,288
43,2023,31150510040002,to_in_007,215
44,2023,31150510040002,to_in_001,403
45,2023,31150510040002,to_in_008,188
46,2023,31150510040003,to_in_001,405
47,2023,31150510040003,to_in_008,197
48,2023,31150510040003,to_in_007,208
49,2023,31150510040004,to_in_008,265
50,2023,31150510040004,to_in_001,569
51,2023,31150510040004,to_in_007,304
52,2023,31150510040005,to_in_008,300
53,2023,31150510040005,to_in_001,591
54,2023,31150510040005,to_in_007,291
55,2023,31150510040006,to_in_007,227
56,2023,31150510040006,to_in_001,476
57,2023,31150510040006,to_in_008,249
58,2023,31150510040007,to_in_008,184
59,2023,31150510040007,to_in_007,251
60,2023,31150510040007,to_in_001,435
61,2023,31150510040008,to_in_001,581
62,2023,31150510040008,to_in_008,304
63,2023,31150510040008,to_in_007,277
64,2023,31150510040009,to_in_001,522
65,2023,31150510040009,to_in_008,255
66,2023,31150510040009,to_in_007,267
67,2023,31150510040010,to_in_008,297
68,2023,31150510040010,to_in_001,602
69,2023,31150510040010,to_in_007,305
70,2023,31150510040011,to_in_007,237
71,2023,31150510040011,to_in_001,451
72,2023,31150510040011,to_in_008,214
